"material","disposition","impactCategory","impactUnits","impactFactor","warmMaterial","ifSource","impactGroup"
"FoodWaste","anaerobicDigestion","Eutrophication","kg N eq.",0.307444850516307,"Food Waste","DEQ","Eutrophication"
"FoodWaste","anaerobicDigestion","Global warming 100","kg CO2 eq.",140.216407284071,"Food Waste","DEQ","GHG's"
"FoodWaste","anaerobicDigestion","Global warming 100(B)","kg CO2 eq.",161.688678108795,"Food Waste","DEQ","GHG's"
"FoodWaste","anaerobicDigestion","Global warming 20","kg CO2 eq.",507.429113854373,"Food Waste","DEQ","GHG's"
"FoodWaste","anaerobicDigestion","Global warming 20(B)","kg CO2 eq.",516.449604212939,"Food Waste","DEQ","GHG's"
"FoodWaste","anaerobicDigestion","Global warming","kg CO2 eq.",-41.6670681020128,"Food Waste","WARM","GHG's"
"FoodWaste","anaerobicDigestion","Human toxicity","CTUh",3.85096521726875e-05,"Food Waste","DEQ","Toxicity"
"FoodWaste","anaerobicDigestion","Water consumption","kg",1230.13522060335,"Food Waste","DEQ","Water"
"FoodWaste","combustion","Air PM2.5","kg PM2.5 eq.",0.00659400401213854,"Food Waste","DEQ","Air"
"FoodWaste","combustion","Energy demand","MJ",-574.113923301676,"Food Waste","DEQ","Energy"
"FoodWaste","combustion","Energy use","MJ",-2355.52221919687,"Food Waste","WARM","Energy"
"FoodWaste","combustion","Eutrophication","kg N eq.",0.0232181932133061,"Food Waste","DEQ","Eutrophication"
"FoodWaste","combustion","Global warming 100","kg CO2 eq.",-2.57512923726807,"Food Waste","DEQ","GHG's"
"FoodWaste","combustion","Global warming 100(B)","kg CO2 eq.",564.786058886308,"Food Waste","DEQ","GHG's"
"FoodWaste","combustion","Global warming 20","kg CO2 eq.",-1.04153258926685,"Food Waste","DEQ","GHG's"
"FoodWaste","combustion","Global warming 20(B)","kg CO2 eq.",566.31862874125,"Food Waste","DEQ","GHG's"
"FoodWaste","combustion","Global warming","kg CO2 eq.",-134.261570651964,"Food Waste","WARM","GHG's"
"FoodWaste","combustion","Human toxicity","CTUh",2.15767835474962e-08,"Food Waste","DEQ","Toxicity"
"FoodWaste","combustion","Water consumption","kg",-175.066211901372,"Food Waste","DEQ","Water"
"FoodWaste","composting","Air PM2.5","kg PM2.5 eq.",0.0276168323640281,"Food Waste","DEQ","Air"
"FoodWaste","composting","Energy demand","MJ",-543.11278049383,"Food Waste","DEQ","Energy"
"FoodWaste","composting","Energy use","MJ",616.1525872,"Food Waste","WARM","Energy"
"FoodWaste","composting","Eutrophication","kg N eq.",0.0566137868360415,"Food Waste","DEQ","Eutrophication"
"FoodWaste","composting","Global warming 100","kg CO2 eq.",-68.6436663298041,"Food Waste","DEQ","GHG's"
"FoodWaste","composting","Global warming 100(B)","kg CO2 eq.",403.066000880116,"Food Waste","DEQ","GHG's"
"FoodWaste","composting","Global warming 20","kg CO2 eq.",-26.5573200230891,"Food Waste","DEQ","GHG's"
"FoodWaste","composting","Global warming 20(B)","kg CO2 eq.",445.155021176933,"Food Waste","DEQ","GHG's"
"FoodWaste","composting","Global warming","kg CO2 eq.",-176.01201959603,"Food Waste","WARM","GHG's"
"FoodWaste","composting","Human toxicity","CTUh",6.38547631917614e-07,"Food Waste","DEQ","Toxicity"
"FoodWaste","composting","Water consumption","kg",158.511892828043,"Food Waste","DEQ","Water"
"FoodWaste","landfilling","Air PM2.5","kg PM2.5 eq.",0.033177874318049,"Food Waste","DEQ","Air"
"FoodWaste","landfilling","Energy demand","MJ",319.65400412599,"Food Waste","DEQ","Energy"
"FoodWaste","landfilling","Energy use","MJ",11.8202147065335,"Food Waste","WARM","Energy"
"FoodWaste","landfilling","Eutrophication","kg N eq.",1.58400439335601,"Food Waste","DEQ","Eutrophication"
"FoodWaste","landfilling","Global warming 100","kg CO2 eq.",277.81182485644,"Food Waste","DEQ","GHG's"
"FoodWaste","landfilling","Global warming 100(B)","kg CO2 eq.",423.684665876862,"Food Waste","DEQ","GHG's"
"FoodWaste","landfilling","Global warming 20","kg CO2 eq.",985.879848937362,"Food Waste","DEQ","GHG's"
"FoodWaste","landfilling","Global warming 20(B)","kg CO2 eq.",1111.75753660403,"Food Waste","DEQ","GHG's"
"FoodWaste","landfilling","Global warming","kg CO2 eq.",542.179842989981,"Food Waste","WARM","GHG's"
"FoodWaste","landfilling","Human toxicity","CTUh",2.06769687491596e-07,"Food Waste","DEQ","Toxicity"
"FoodWaste","landfilling","Water consumption","kg",-250.753838027165,"Food Waste","DEQ","Water"
"FoodWaste","production","Air PM2.5","kg PM2.5 eq.",1.98559321505636,"Food Waste","DEQ","Air"
"FoodWaste","production","Energy demand","MJ",39043.8618319711,"Food Waste","DEQ","Energy"
"FoodWaste","production","Energy use","MJ",15360.6025878392,"Food Waste","WARM","Energy"
"FoodWaste","production","Eutrophication","kg N eq.",16.3967932232144,"Food Waste","DEQ","Eutrophication"
"FoodWaste","production","Global warming 100","kg CO2 eq.",1690.92293009312,"Food Waste","DEQ","GHG's"
"FoodWaste","production","Global warming 100(B)","kg CO2 eq.",307.510150894868,"Food Waste","DEQ","GHG's"
"FoodWaste","production","Global warming 20","kg CO2 eq.",3019.53937621585,"Food Waste","DEQ","GHG's"
"FoodWaste","production","Global warming 20(B)","kg CO2 eq.",1600.06558471824,"Food Waste","DEQ","GHG's"
"FoodWaste","production","Global warming","kg CO2 eq.",3659.74807954378,"Food Waste","WARM","GHG's"
"FoodWaste","production","Human toxicity","CTUh",5.90618691163135e-05,"Food Waste","DEQ","Toxicity"
"FoodWaste","production","Water consumption","kg",132157.093270219,"Food Waste","DEQ","Water"
"FoodWaste","recycling","Energy use","MJ",NA,"Food Waste","WARM","Energy"
"FoodWaste","recycling","Global warming","kg CO2 eq.",NA,"Food Waste","WARM","GHG's"
"Glass","anaerobicDigestion","Energy use","MJ",NA,"Glass","WARM","Energy"
"Glass","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Glass","WARM","GHG's"
"Glass","combustion","Energy use","MJ",233.56443945623,"Glass","WARM","Energy"
"Glass","combustion","Global warming","kg CO2 eq.",26.8403367053342,"Glass","WARM","GHG's"
"Glass","composting","Energy use","MJ",NA,"Glass","WARM","Energy"
"Glass","composting","Global warming","kg CO2 eq.",NA,"Glass","WARM","GHG's"
"Glass","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,"Glass","DEQ","Air"
"Glass","landfilling","Energy demand","MJ",656.292732961003,"Glass","DEQ","Energy"
"Glass","landfilling","Energy use","MJ",283.043033402762,"Glass","WARM","Energy"
"Glass","landfilling","Eutrophication","kg N eq.",0.00969916737496192,"Glass","DEQ","Eutrophication"
"Glass","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,"Glass","DEQ","GHG's"
"Glass","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,"Glass","DEQ","GHG's"
"Glass","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,"Glass","DEQ","GHG's"
"Glass","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,"Glass","DEQ","GHG's"
"Glass","landfilling","Global warming","kg CO2 eq.",20.254519141196,"Glass","WARM","GHG's"
"Glass","landfilling","Human toxicity","CTUh",1.77891811573199e-07,"Glass","DEQ","Toxicity"
"Glass","landfilling","Water consumption","kg",86.2137150802446,"Glass","DEQ","Water"
"Glass","production","Air PM2.5","kg PM2.5 eq.",1.22793075536052,"Glass","DEQ","Air"
"Glass","production","Energy demand","MJ",15440.203876024,"Glass","DEQ","Energy"
"Glass","production","Energy use","MJ",7284.70494015407,"Glass","WARM","Energy"
"Glass","production","Eutrophication","kg N eq.",1.7814705726061,"Glass","DEQ","Eutrophication"
"Glass","production","Global warming 100","kg CO2 eq.",1012.25557204151,"Glass","DEQ","GHG's"
"Glass","production","Global warming 100(B)","kg CO2 eq.",952.089975738485,"Glass","DEQ","GHG's"
"Glass","production","Global warming 20","kg CO2 eq.",1133.99340663427,"Glass","DEQ","GHG's"
"Glass","production","Global warming 20(B)","kg CO2 eq.",1073.48001879083,"Glass","DEQ","GHG's"
"Glass","production","Global warming","kg CO2 eq.",530.820874316884,"Glass","WARM","GHG's"
"Glass","production","Human toxicity","CTUh",3.40945196840341e-05,"Glass","DEQ","Toxicity"
"Glass","production","Water consumption","kg",6926.70334230858,"Glass","DEQ","Water"
"Glass","recycling","Air PM2.5","kg PM2.5 eq.",-0.0879984545572995,"Glass","DEQ","Air"
"Glass","recycling","Energy demand","MJ",-1813.85228906314,"Glass","DEQ","Energy"
"Glass","recycling","Energy use","MJ",-2242.42595765069,"Glass","WARM","Energy"
"Glass","recycling","Eutrophication","kg N eq.",-0.0545758779759426,"Glass","DEQ","Eutrophication"
"Glass","recycling","Global warming 100","kg CO2 eq.",-125.112235775164,"Glass","DEQ","GHG's"
"Glass","recycling","Global warming 100(B)","kg CO2 eq.",-119.101423632339,"Glass","DEQ","GHG's"
"Glass","recycling","Global warming 20","kg CO2 eq.",-99.6767410807016,"Glass","DEQ","GHG's"
"Glass","recycling","Global warming 20(B)","kg CO2 eq.",-94.9057613875364,"Glass","DEQ","GHG's"
"Glass","recycling","Global warming","kg CO2 eq.",-276.09017645926,"Glass","WARM","GHG's"
"Glass","recycling","Human toxicity","CTUh",-1.95134383610324e-07,"Glass","DEQ","Toxicity"
"Glass","recycling","Water consumption","kg",-619.862379864226,"Glass","DEQ","Water"
"Glass","recyclingPozzolan","Air PM2.5","kg PM2.5 eq.",-0.102001382560724,"Glass","DEQ","Air"
"Glass","recyclingPozzolan","Energy demand","MJ",-3231.80146643655,"Glass","DEQ","Energy"
"Glass","recyclingPozzolan","Eutrophication","kg N eq.",-0.0515053743516913,"Glass","DEQ","Eutrophication"
"Glass","recyclingPozzolan","Global warming 100","kg CO2 eq.",-738.193944659253,"Glass","DEQ","GHG's"
"Glass","recyclingPozzolan","Global warming 100(B)","kg CO2 eq.",-737.971452748481,"Glass","DEQ","GHG's"
"Glass","recyclingPozzolan","Global warming 20","kg CO2 eq.",-758.92371250117,"Glass","DEQ","GHG's"
"Glass","recyclingPozzolan","Global warming 20(B)","kg CO2 eq.",-758.66787747117,"Glass","DEQ","GHG's"
"Glass","recyclingPozzolan","Human toxicity","CTUh",-4.34108387920586e-07,"Glass","DEQ","Toxicity"
"Glass","recyclingPozzolan","Water consumption","kg",-659.443727641716,"Glass","DEQ","Water"
"Glass","recyclingToFiberglass","Air PM2.5","kg PM2.5 eq.",-0.0641423019446495,"Glass","DEQ","Air"
"Glass","recyclingToFiberglass","Energy demand","MJ",-1257.58997658149,"Glass","DEQ","Energy"
"Glass","recyclingToFiberglass","Eutrophication","kg N eq.",-0.0206956530449461,"Glass","DEQ","Eutrophication"
"Glass","recyclingToFiberglass","Global warming 100","kg CO2 eq.",-82.3766971176857,"Glass","DEQ","GHG's"
"Glass","recyclingToFiberglass","Global warming 100(B)","kg CO2 eq.",-76.4140476975681,"Glass","DEQ","GHG's"
"Glass","recyclingToFiberglass","Global warming 20","kg CO2 eq.",-52.0370002431075,"Glass","DEQ","GHG's"
"Glass","recyclingToFiberglass","Global warming 20(B)","kg CO2 eq.",-47.315634116286,"Glass","DEQ","GHG's"
"Glass","recyclingToFiberglass","Human toxicity","CTUh",-7.875985273632e-10,"Glass","DEQ","Toxicity"
"Glass","recyclingToFiberglass","Water consumption","kg",-424.538021441924,"Glass","DEQ","Water"
"Glass","useAsAggregate","Air PM2.5","kg PM2.5 eq.",-0.00184675006654691,"Glass","DEQ","Air"
"Glass","useAsAggregate","Energy demand","MJ",-149.707217390131,"Glass","DEQ","Energy"
"Glass","useAsAggregate","Eutrophication","kg N eq.",0.0693798734419179,"Glass","DEQ","Eutrophication"
"Glass","useAsAggregate","Global warming 100","kg CO2 eq.",13.3192404679975,"Glass","DEQ","GHG's"
"Glass","useAsAggregate","Global warming 100(B)","kg CO2 eq.",19.2592125621537,"Glass","DEQ","GHG's"
"Glass","useAsAggregate","Global warming 20","kg CO2 eq.",56.7286613951046,"Glass","DEQ","GHG's"
"Glass","useAsAggregate","Global warming 20(B)","kg CO2 eq.",61.4264084809332,"Glass","DEQ","GHG's"
"Glass","useAsAggregate","Human toxicity","CTUh",5.79890557778792e-07,"Glass","DEQ","Toxicity"
"Glass","useAsAggregate","Water consumption","kg",2.66906324195588,"Glass","DEQ","Water"
"HDPE","anaerobicDigestion","Energy use","MJ",NA,"HDPE","WARM","Energy"
"HDPE","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"HDPE","WARM","GHG's"
"HDPE","combustion","Air PM2.5","kg PM2.5 eq.",-0.11714046365823,"HDPE","DEQ","Air"
"HDPE","combustion","Energy demand","MJ",-33283.0612865616,"HDPE","DEQ","Energy"
"HDPE","combustion","Energy use","MJ",-19862.9162660968,"HDPE","WARM","Energy"
"HDPE","combustion","Eutrophication","kg N eq.",-0.144789161348395,"HDPE","DEQ","Eutrophication"
"HDPE","combustion","Global warming 100","kg CO2 eq.",1015.6254306782,"HDPE","DEQ","GHG's"
"HDPE","combustion","Global warming 100(B)","kg CO2 eq.",1016.00950635424,"HDPE","DEQ","GHG's"
"HDPE","combustion","Global warming 20","kg CO2 eq.",715.989294793343,"HDPE","DEQ","GHG's"
"HDPE","combustion","Global warming 20(B)","kg CO2 eq.",716.431754014594,"HDPE","DEQ","GHG's"
"HDPE","combustion","Global warming","kg CO2 eq.",1285.91909464539,"HDPE","WARM","GHG's"
"HDPE","combustion","Human toxicity","CTUh",-3.60441572969959e-07,"HDPE","DEQ","Toxicity"
"HDPE","combustion","Water consumption","kg",551.508055372979,"HDPE","DEQ","Water"
"HDPE","composting","Energy use","MJ",NA,"HDPE","WARM","Energy"
"HDPE","composting","Global warming","kg CO2 eq.",NA,"HDPE","WARM","GHG's"
"HDPE","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,"HDPE","DEQ","Air"
"HDPE","landfilling","Energy demand","MJ",656.292732961003,"HDPE","DEQ","Energy"
"HDPE","landfilling","Energy use","MJ",283.043033402762,"HDPE","WARM","Energy"
"HDPE","landfilling","Eutrophication","kg N eq.",0.241070320880307,"HDPE","DEQ","Eutrophication"
"HDPE","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,"HDPE","DEQ","GHG's"
"HDPE","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,"HDPE","DEQ","GHG's"
"HDPE","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,"HDPE","DEQ","GHG's"
"HDPE","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,"HDPE","DEQ","GHG's"
"HDPE","landfilling","Global warming","kg CO2 eq.",20.254519141196,"HDPE","WARM","GHG's"
"HDPE","landfilling","Human toxicity","CTUh",2.15399353970057e-07,"HDPE","DEQ","Toxicity"
"HDPE","landfilling","Water consumption","kg",86.2137150802446,"HDPE","DEQ","Water"
"HDPE","production","Air PM2.5","kg PM2.5 eq.",0.277827064891773,"HDPE","DEQ","Air"
"HDPE","production","Energy demand","MJ",90935.633100776,"HDPE","DEQ","Energy"
"HDPE","production","Energy use","MJ",64479.7242061126,"HDPE","WARM","Energy"
"HDPE","production","Eutrophication","kg N eq.",0.325857584903085,"HDPE","DEQ","Eutrophication"
"HDPE","production","Global warming 100","kg CO2 eq.",3039.58548035953,"HDPE","DEQ","GHG's"
"HDPE","production","Global warming 100(B)","kg CO2 eq.",3042.08024362857,"HDPE","DEQ","GHG's"
"HDPE","production","Global warming 20","kg CO2 eq.",3803.31661917031,"HDPE","DEQ","GHG's"
"HDPE","production","Global warming 20(B)","kg CO2 eq.",3805.66250782724,"HDPE","DEQ","GHG's"
"HDPE","production","Global warming","kg CO2 eq.",1419.03926693742,"HDPE","WARM","GHG's"
"HDPE","production","Human toxicity","CTUh",1.53738425341841e-06,"HDPE","DEQ","Toxicity"
"HDPE","production","Water consumption","kg",15430.1239473496,"HDPE","DEQ","Water"
"HDPE","recycling","Air PM2.5","kg PM2.5 eq.",-0.101824413394533,"HDPE","DEQ","Air"
"HDPE","recycling","Energy demand","MJ",-53275.6717316313,"HDPE","DEQ","Energy"
"HDPE","recycling","Energy use","MJ",-53001.3799491613,"HDPE","WARM","Energy"
"HDPE","recycling","Eutrophication","kg N eq.",-0.0420151420800571,"HDPE","DEQ","Eutrophication"
"HDPE","recycling","Global warming 100","kg CO2 eq.",-1256.01980202081,"HDPE","DEQ","GHG's"
"HDPE","recycling","Global warming 100(B)","kg CO2 eq.",-1258.09012589676,"HDPE","DEQ","GHG's"
"HDPE","recycling","Global warming 20","kg CO2 eq.",-1742.13489292186,"HDPE","DEQ","GHG's"
"HDPE","recycling","Global warming 20(B)","kg CO2 eq.",-1744.14966914892,"HDPE","DEQ","GHG's"
"HDPE","recycling","Global warming","kg CO2 eq.",-853.043324452014,"HDPE","WARM","GHG's"
"HDPE","recycling","Human toxicity","CTUh",-6.97766593679427e-07,"HDPE","DEQ","Toxicity"
"HDPE","recycling","Water consumption","kg",-5976.78919326116,"HDPE","DEQ","Water"
"LDPE","anaerobicDigestion","Energy use","MJ",NA,"LDPE","WARM","Energy"
"LDPE","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"LDPE","WARM","GHG's"
"LDPE","combustion","Air PM2.5","kg PM2.5 eq.",-0.11714046365823,"LDPE","DEQ","Air"
"LDPE","combustion","Energy demand","MJ",-33283.0612865616,"LDPE","DEQ","Energy"
"LDPE","combustion","Energy use","MJ",-19755.5760130701,"LDPE","WARM","Energy"
"LDPE","combustion","Eutrophication","kg N eq.",-0.144789161348395,"LDPE","DEQ","Eutrophication"
"LDPE","combustion","Global warming 100","kg CO2 eq.",1015.6254306782,"LDPE","DEQ","GHG's"
"LDPE","combustion","Global warming 100(B)","kg CO2 eq.",1016.00950635424,"LDPE","DEQ","GHG's"
"LDPE","combustion","Global warming 20","kg CO2 eq.",715.989294793343,"LDPE","DEQ","GHG's"
"LDPE","combustion","Global warming 20(B)","kg CO2 eq.",716.431754014594,"LDPE","DEQ","GHG's"
"LDPE","combustion","Global warming","kg CO2 eq.",1294.11832919226,"LDPE","WARM","GHG's"
"LDPE","combustion","Human toxicity","CTUh",-3.60441572969959e-07,"LDPE","DEQ","Toxicity"
"LDPE","combustion","Water consumption","kg",551.508055372979,"LDPE","DEQ","Water"
"LDPE","composting","Energy use","MJ",NA,"LDPE","WARM","Energy"
"LDPE","composting","Global warming","kg CO2 eq.",NA,"LDPE","WARM","GHG's"
"LDPE","landfilling","Air PM2.5","kg PM2.5 eq.",0.0119914413234302,"LDPE","DEQ","Air"
"LDPE","landfilling","Energy demand","MJ",656.292732961003,"LDPE","DEQ","Energy"
"LDPE","landfilling","Energy use","MJ",283.043033402762,"LDPE","WARM","Energy"
"LDPE","landfilling","Eutrophication","kg N eq.",0.241070320880307,"LDPE","DEQ","Eutrophication"
"LDPE","landfilling","Global warming 100","kg CO2 eq.",38.9759305368053,"LDPE","DEQ","GHG's"
"LDPE","landfilling","Global warming 100(B)","kg CO2 eq.",37.1846134164408,"LDPE","DEQ","GHG's"
"LDPE","landfilling","Global warming 20","kg CO2 eq.",43.8386938229896,"LDPE","DEQ","GHG's"
"LDPE","landfilling","Global warming 20(B)","kg CO2 eq.",42.0440143081177,"LDPE","DEQ","GHG's"
"LDPE","landfilling","Global warming","kg CO2 eq.",20.254519141196,"LDPE","WARM","GHG's"
"LDPE","landfilling","Human toxicity","CTUh",2.15399353970057e-07,"LDPE","DEQ","Toxicity"
"LDPE","landfilling","Water consumption","kg",86.2137150802446,"LDPE","DEQ","Water"
"LDPE","production","Air PM2.5","kg PM2.5 eq.",0.21965830624981,"LDPE","DEQ","Air"
"LDPE","production","Energy demand","MJ",86069.42987046,"LDPE","DEQ","Energy"
"LDPE","production","Energy use","MJ",74822.2561382808,"LDPE","WARM","Energy"
"LDPE","production","Eutrophication","kg N eq.",0.30150613319295,"LDPE","DEQ","Eutrophication"
"LDPE","production","Global warming 100","kg CO2 eq.",2814.49835632463,"LDPE","DEQ","GHG's"
"LDPE","production","Global warming 100(B)","kg CO2 eq.",2815.328797914,"LDPE","DEQ","GHG's"
"LDPE","production","Global warming 20","kg CO2 eq.",3546.00477660572,"LDPE","DEQ","GHG's"
"LDPE","production","Global warming 20(B)","kg CO2 eq.",3546.69388468561,"LDPE","DEQ","GHG's"
"LDPE","production","Global warming","kg CO2 eq.",1795.50857874554,"LDPE","WARM","GHG's"
"LDPE","production","Human toxicity","CTUh",1.48214483105069e-06,"LDPE","DEQ","Toxicity"
"LDPE","production","Water consumption","kg",13663.1416547804,"LDPE","DEQ","Water"
"LDPE","recycling","Air PM2.5","kg PM2.5 eq.",-0.0993011456073575,"LDPE","DEQ","Air"
"LDPE","recycling","Energy demand","MJ",-58375.1544094075,"LDPE","DEQ","Energy"
"LDPE","recycling","Energy use","MJ",NA,"LDPE","WARM","Energy"
"LDPE","recycling","Eutrophication","kg N eq.",-0.0748804712832759,"LDPE","DEQ","Eutrophication"
"LDPE","recycling","Global warming 100","kg CO2 eq.",-1521.6754497054,"LDPE","DEQ","GHG's"
"LDPE","recycling","Global warming 100(B)","kg CO2 eq.",-1522.18804078068,"LDPE","DEQ","GHG's"
"LDPE","recycling","Global warming 20","kg CO2 eq.",-2041.64038161733,"LDPE","DEQ","GHG's"
"LDPE","recycling","Global warming 20(B)","kg CO2 eq.",-2042.08855690743,"LDPE","DEQ","GHG's"
"LDPE","recycling","Global warming","kg CO2 eq.",NA,"LDPE","WARM","GHG's"
"LDPE","recycling","Human toxicity","CTUh",-7.67020397888451e-07,"LDPE","DEQ","Toxicity"
"LDPE","recycling","Water consumption","kg",-7694.50616791228,"LDPE","DEQ","Water"
"Nonrecyclables","anaerobicDigestion","Energy use","MJ",NA,"Mixed MSW","WARM","Energy"
"Nonrecyclables","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Mixed MSW","WARM","GHG's"
"Nonrecyclables","combustion","Air PM2.5","kg PM2.5 eq.",-0.00854281513833778,"Mixed MSW","DEQ","Air"
"Nonrecyclables","combustion","Energy demand","MJ",-3692.20000348958,"Mixed MSW","DEQ","Energy"
"Nonrecyclables","combustion","Energy use","MJ",-4969.45615864318,"Mixed MSW","WARM","Energy"
"Nonrecyclables","combustion","Eutrophication","kg N eq.",0.00552649229122475,"Mixed MSW","DEQ","Eutrophication"
"Nonrecyclables","combustion","Global warming 100","kg CO2 eq.",262.809318590341,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","combustion","Global warming 100(B)","kg CO2 eq.",781.978930244255,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","combustion","Global warming 20","kg CO2 eq.",243.831257064483,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","combustion","Global warming 20(B)","kg CO2 eq.",763.004529358299,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","combustion","Global warming","kg CO2 eq.",9.1542228046414,"Mixed MSW","WARM","GHG's"
"Nonrecyclables","combustion","Human toxicity","CTUh",2.40773679957011e-07,"Mixed MSW","DEQ","Toxicity"
"Nonrecyclables","combustion","Water consumption","kg",-3165.51919864351,"Mixed MSW","DEQ","Water"
"Nonrecyclables","composting","Energy use","MJ",NA,"Mixed MSW","WARM","Energy"
"Nonrecyclables","composting","Global warming","kg CO2 eq.",NA,"Mixed MSW","WARM","GHG's"
"Nonrecyclables","landfilling","Air PM2.5","kg PM2.5 eq.",0.0315101165153509,"Mixed MSW","DEQ","Air"
"Nonrecyclables","landfilling","Energy demand","MJ",345.972461124483,"Mixed MSW","DEQ","Energy"
"Nonrecyclables","landfilling","Energy use","MJ",-31.2382708714443,"Mixed MSW","WARM","Energy"
"Nonrecyclables","landfilling","Eutrophication","kg N eq.",1.02653507856935,"Mixed MSW","DEQ","Eutrophication"
"Nonrecyclables","landfilling","Global warming 100","kg CO2 eq.",306.158810911425,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","landfilling","Global warming 100(B)","kg CO2 eq.",393.298917127055,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","landfilling","Global warming 20","kg CO2 eq.",958.955879379144,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","landfilling","Global warming 20(B)","kg CO2 eq.",1027.67213035799,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","landfilling","Global warming","kg CO2 eq.",357.22420912306,"Mixed MSW","WARM","GHG's"
"Nonrecyclables","landfilling","Human toxicity","CTUh",6.68010661224756e-06,"Mixed MSW","DEQ","Toxicity"
"Nonrecyclables","landfilling","Water consumption","kg",-224.28759648258,"Mixed MSW","DEQ","Water"
"Nonrecyclables","production","Air PM2.5","kg PM2.5 eq.",3.39590957144063,"Mixed MSW","DEQ","Air"
"Nonrecyclables","production","Energy demand","MJ",75488.0508930777,"Mixed MSW","DEQ","Energy"
"Nonrecyclables","production","Energy use","MJ",NA,"Mixed MSW","WARM","Energy"
"Nonrecyclables","production","Eutrophication","kg N eq.",26.7456358801636,"Mixed MSW","DEQ","Eutrophication"
"Nonrecyclables","production","Global warming 100","kg CO2 eq.",3678.68706654273,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","production","Global warming 100(B)","kg CO2 eq.",3347.59158945854,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","production","Global warming 20","kg CO2 eq.",4411.44740389619,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","production","Global warming 20(B)","kg CO2 eq.",4078.12972943294,"Mixed MSW","DEQ","GHG's"
"Nonrecyclables","production","Global warming","kg CO2 eq.",NA,"Mixed MSW","WARM","GHG's"
"Nonrecyclables","production","Human toxicity","CTUh",0.000278491828909155,"Mixed MSW","DEQ","Toxicity"
"Nonrecyclables","production","Water consumption","kg",35005.2292987059,"Mixed MSW","DEQ","Water"
"Nonrecyclables","recycling","Energy use","MJ",NA,"Mixed MSW","WARM","Energy"
"Nonrecyclables","recycling","Global warming","kg CO2 eq.",NA,"Mixed MSW","WARM","GHG's"
"PaperFiber","anaerobicDigestion","Energy use","MJ",NA,"Mixed Paper (general)","WARM","Energy"
"PaperFiber","anaerobicDigestion","Global warming","kg CO2 eq.",NA,"Mixed Paper (general)","WARM","GHG's"
"PaperFiber","combustion","Air PM2.5","kg PM2.5 eq.",-0.0105736194654945,"Mixed Paper (general)","DEQ","Air"
"PaperFiber","combustion","Energy demand","MJ",-4968.67695260073,"Mixed Paper (general)","DEQ","Energy"
"PaperFiber","combustion","Energy use","MJ",-7026.09540663462,"Mixed Paper (general)","WARM","Energy"
"PaperFiber","combustion","Eutrophication","kg N eq.",-0.010240855122116,"Mixed Paper (general)","DEQ","Eutrophication"
"PaperFiber","combustion","Global warming 100","kg CO2 eq.",-218.044163096948,"Mixed Paper (general)","DEQ","GHG's"
"PaperFiber","combustion","Global warming 100(B)","kg CO2 eq.",1024.54758347802,"Mixed Paper (general)","DEQ","GHG's"
"PaperFiber","combustion","Global warming 20","kg CO2 eq.",-246.435567959266,"Mixed Paper (general)","DEQ","GHG's"
"PaperFiber","combustion","Global warming 20(B)","kg CO2 eq.",996.162767343407,"Mixed Paper (general)","DEQ","GHG's"
"PaperFiber","combustion","Global warming","kg CO2 eq.",-491.02544955382,"Mixed Paper (general)","WARM","GHG's"
"PaperFiber","combustion","Human toxicity","CTUh",-5.99245180579026e-08,"Mixed Paper (general)","DEQ","Toxicity"
"PaperFiber","combustion","Water consumption","kg",-4204.82990057021,"Mixed Paper (general)","DEQ","Water"
"PaperFiber","composting","Energy use","MJ",NA,"Mixed Paper (general)","WARM","Energy"
"PaperFiber","composting","Global warming","kg CO2 eq.",NA,"Mixed Paper (general)","WARM","GHG's"
"PaperFiber","landfilling","Air PM2.5","kg PM2.5 eq.",0.0471689499553506,"Mixed Paper (general)","DEQ","Air"
"PaperFiber","landfilling","Energy demand","MJ",83.6724307567726,"Mixed Paper (general)","DEQ","Energy"
